79, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514233192249e-11 oV:637.3073595406834 average grad:-1.6714116012096038e-15, step1:-1.3204151649555871e-16 step2:-1.3204151649555871e-16 actualStep:-1.3204151649555871e-16 newV:637.3073595406834
80, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.08151423200599e-11 oV:628.9595803696975 average grad:-4.3585070113402074e-17, step1:-3.486805609072166e-18 step2:-3.486805609072166e-18 actualStep:-3.486805609072166e-18 newV:628.9595803696975
81, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514232005993e-11 oV:-750.586867485997 average grad:-4.358506359423384e-17, step1:-3.5303901511329416e-18 step2:-3.5303901511329416e-18 actualStep:-3.5303901511329416e-18 newV:-750.586867485997
83, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081527956325485e-11 oV:-300.957430287203 average grad:-1.7971806279479415e-13, step1:-1.4916599211967917e-14 step2:-1.4916599211967917e-14 actualStep:-1.4916599211967917e-14 newV:-300.957430287203
85, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.08151423200599e-11 oV:628.9595803696975 average grad:-4.3585070113402074e-17, step1:-3.704730959639176e-18 step2:-3.704730959639176e-18 actualStep:-3.704730959639176e-18 newV:628.9595803696975
86, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.08151424201016e-11 oV:-558.9859244848814 average grad:-5.566622846465734e-15, step1:-4.787295647960532e-16 step2:-4.787295647960532e-16 actualStep:-4.787295647960532e-16 newV:-558.9859244848814
88, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514949309961e-11 oV:12.390945610571404 average grad:-4.648505126198683e-14, step1:-4.0906845110548415e-15 step2:-4.0906845110548415e-15 actualStep:-4.0906845110548415e-15 newV:12.3909456105714
90, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514233192249e-11 oV:666.7487453356416 average grad:-1.6714116012092723e-15, step1:-1.5042704410883453e-16 step2:-1.5042704410883453e-16 actualStep:-1.5042704410883453e-16 newV:666.7487453356416
91, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.08151424201016e-11 oV:-405.25689476707925 average grad:-5.566622846465734e-15, step1:-5.065626790283818e-16 step2:-5.065626790283818e-16 actualStep:-5.065626790283818e-16 newV:-405.25689476707925
92, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081558677580451e-11 oV:526.8878241753612 average grad:3.234154417985747e-13, step1:2.975422064546887e-14 step2:2.975422064546887e-14 actualStep:2.975422064546887e-14 newV:526.8878241753612
93, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514232005993e-11 oV:-750.586867485997 average grad:-4.358506359423384e-17, step1:-4.053410914263748e-18 step2:-4.053410914263748e-18 actualStep:-4.053410914263748e-18 newV:-750.586867485997
99, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081527956325485e-11 oV:-300.957430287203 average grad:-1.7971806279479415e-13, step1:-1.779208821668462e-14 step2:-1.779208821668462e-14 actualStep:-1.779208821668462e-14 newV:-300.957430287203
102, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081514390716424e-11 oV:153.5213653782033 average grad:1.9326360180031025e-14, step1:1.9712887383631645e-15 step2:1.9712887383631645e-15 actualStep:1.9712887383631645e-15 newV:153.5213653782033
103, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514232005432e-11 oV:-185.42088275298306 average grad:-2.4219786570776134e-17, step1:-2.4946380167899415e-18 step2:-2.4946380167899415e-18 actualStep:-2.4946380167899415e-18 newV:-185.42088275298306
106, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514549797787e-11 oV:-632.9915993558762 average grad:-3.0253564974610334e-14, step1:-3.2068778873086955e-15 step2:-3.2068778873086955e-15 actualStep:-3.2068778873086955e-15 newV:-632.9915993558762
